class_source,source_name,current_destination_name,suggested_destination_name,destination_variants_count,usage_count,status,notes
gest.veh.VehPneu,mAbsent,absent,absent,1,1,,
gest.consolide.ParamSSI,mAccesMultiTous,accesMultiTous,accesMultiTous,1,1,,
gest.planInterv.PlanAcces,mAccesPrincipal,accesPrincipal,accesPrincipal,1,1,,
gest.borne.Borne,mAccessibleHiver,accessibleHiver,accessibleHiver,1,1,,
gest.gen.InfosAuthAurora,mAccessToken,accessToken,jetonAcces,1,1,,
gest.gen.InfosAuthAurora,mAccessTokenExpiration,accessTokenExpiration,jetonAccesExpiration,1,1,,
gest.intervention.IntervVehAccident,mAccidentSurvenu,accidentSurvenu,accidentSurvenu,1,1,,
gest.rci.Accumul,mAccumul,accumulation,accumulation,1,1,,
gest.employe.Employe,mUtilisateur,aCompteUtilisateur,aCompteUtilisateur,1,1,,
[shared],mActif,actif,actif,1,1,,
gest.activite.ActionCondition | gest.histo.Histo | gest.secCiv.LogSinistre,mAction,action,action,1,3,,
gest.maintEquip.MaintEquipHisto,mActionDeplConsom,actionDeplConsom,actionDeplConsommable,1,1,,?
gest.config.ParamBackup | gest.feuilleTemps.ParamFeuilleTemps,mActiver,activer,activer,1,2,,
gest.dossPrev.ParamDossPrev | gest.gen.ParamExportDonnees,mActiverExport,activerExport,activerExport,1,2,,
gest.formation.TypeActivFormation,mActiviteEtudiant,activiteEtudiant,activiteEtudiant,1,1,,
gest.config.ParamCalendrier,mActivitesSimultaneesLayout,activitesSimultaneesLayout,activitesSimultaneesDisposition,1,1,,
gest.intervention.ParamIntervention,mAddCompteRenduFirstRapportOnly,addCompteRenduFirstRapportOnly,ajouterCompteRenduPremierRapportSeulement,1,1,,
gest.intervention.FournSAAQ,mAdrDepart,adrDepart,adresseDepart,1,1,,
gest.intervention.FournSAAQ,mAdrDepartDiffFourn,adrDepartDiffFourn,adresseDepartDifferentFournisseur,1,1,,
[shared],mAdresse,adresse,adresse,1,1,,
gest.intervention.IntervRepondant,mAdresseDifferente,adresseDifferente,adresseDifferente,1,1,,
gest.licence.Licence,mAdresseFact,adresseFact,adresseFacturation,1,1,,
gest.rci.Saisie,mAdressePersSaisie,adressePersSaisie,adressePersonneSaisie,1,1,,
gest.intervention.ParamViewer,mAdresseRAO,adresseRAO,adresseRAO,1,1,,
gest.cauca.ParamCauca,mAdresseServ,adresseServ,adresseServeur,1,1,,
gest.cartographie.ParamServeurCartographie,mAdresseServeur,adresseServeur,adresseServeur,1,1,,
gest.intervention.FournSAAQ,mAdrFourn,adrFourn,adresseFournisseur,1,1,,
gest.intervention.FournSAAQ,mAdrFournDiffService,adrFournDiffService,adresseFournisseurDifferentService,1,1,,
gest.intervention.ParamIntervDSI2003,mAffArronConformesSeulementDansDSI,affArronConformesSeulementDansDSI,affArronConformesSeulementDansDsi,1,1,,
gest.intervention.ParamIntervDSI2003 | gest.intervention.ParamIntervention,mAffArronDansDSI,affArronDansDSI,affArronDansDsi,1,2,,
gest.feuilleTemps.ParamFeuilleTemps,mAffectationTravail,affectationTravail,affectationTravail,1,1,,
