kind,class_source,field_source,destination_name,suggested_name,unresolved_tokens,xpath_hint
shared-field,,mIDSSI,idSSI,idSsi,SSI,/classes/fields/field[@source='mIDSSI']
shared-field,,mIDDBConso,idDBConso,idDbConso,DB,/classes/fields/field[@source='mIDDBConso']
shared-field,,mNom,nom,nom,nom,/classes/fields/field[@source='mNom']
shared-field,,mNote,note,note,note,/classes/fields/field[@source='mNote']
shared-field,,mDateCreation,dateCreation,dateCreation,date,/classes/fields/field[@source='mDateCreation']
shared-field,,mDateActivite,dateActivite,dateActivite,date,/classes/fields/field[@source='mDateActivite']
shared-field,,mDateCompletee,dateCompletee,dateCompletee,date,/classes/fields/field[@source='mDateCompletee']
shared-field,,mDateIdent,dateIdent,dateIdent,date,/classes/fields/field[@source='mDateIdent']
shared-field,,mDateDebut,dateDebut,dateDebut,date,/classes/fields/field[@source='mDateDebut']
shared-field,,mDateFin,dateFin,dateFin,date,/classes/fields/field[@source='mDateFin']
shared-field,,mIDTypeActivite,idTypeActivite,idTypeActivite,Type,/classes/fields/field[@source='mIDTypeActivite']
class-field,com.db4o.StaticClass,name,name,name,name,/classes/class[@source='com.db4o.StaticClass']/field[@source='name']
class-field,com.db4o.StaticField,name,name,name,name,/classes/class[@source='com.db4o.StaticField']/field[@source='name']
class-field,com.db4o.config.Entry,key,key,key,key,/classes/class[@source='com.db4o.config.Entry']/field[@source='key']
class-field,com.db4o.ext.Db4oDatabase,i_signature,i_signature,iSignature,i,/classes/class[@source='com.db4o.ext.Db4oDatabase']/field[@source='i_signature']
class-field,com.db4o.ext.Db4oDatabase,i_uuid,i_uuid,iUuid,i|uuid,/classes/class[@source='com.db4o.ext.Db4oDatabase']/field[@source='i_uuid']
class-field,gen.requete.DynamicStaticDate,mDynamicDate,dynamicDate,dynamicDate,Date,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mDynamicDate']
class-field,gen.requete.DynamicStaticDate,mStaticDate,staticDate,staticDate,Date,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mStaticDate']
class-field,gen.util.HVector,mReadOnly,readOnly,readOnly,read|Only,/classes/class[@source='gen.util.HVector']/field[@source='mReadOnly']
class-field,gen.util.ObjetToString,mHashCodeSurToString,hashCodeSurToString,hashCodeSurToString,hash|Code|Sur|To,/classes/class[@source='gen.util.ObjetToString']/field[@source='mHashCodeSurToString']
class-field,gen.util.ObjetToString,mToString,toString,toString,to,/classes/class[@source='gen.util.ObjetToString']/field[@source='mToString']
class-field,gest.DSI2003.DSI2003,mCode,code,code,code,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mCode']
class-field,gest.DSI2003.DSI2003,mNom,nom,nom,nom,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mNom']
class-field,gest.DSI2003.DSI2003Perso,mIDSousCodeMSP,idSousCodeMSP,idSousCodeMsp,Sous|Code|MSP,/classes/class[@source='gest.DSI2003.DSI2003Perso']/field[@source='mIDSousCodeMSP']
class-field,gest.activite.Acte,mVectIDTypeActivite,listeIDTypeActivite,listeIdTypeActivite,Type,/classes/class[@source='gest.activite.Acte']/field[@source='mVectIDTypeActivite']
class-field,gest.activite.ActionCondition,mMontantBase,montantBase,montantBase,Base,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mMontantBase']
class-field,gest.activite.ActionCondition,mTauxHoraireMult,tauxHoraireMultiplicateur,tauxHoraireMultiplicateur,taux,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTauxHoraireMult']
class-field,gest.activite.ActionCondition,mTempsPayeBase,tempsPayeBase,tempsPayeBase,Paye|Base,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBase']
class-field,gest.activite.ActionCondition,mTempsPayeBloc,tempsPayeBloc,tempsPayeBloc,Paye|Bloc,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBloc']
class-field,gest.activite.ActionCondition,mTempsPayeBlocArrondir,tempsPayeBlocArrondir,tempsPayeBlocArrondir,Paye|Bloc,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBlocArrondir']
class-field,gest.activite.ActionCondition,mTempsPayeMax,tempsPayeMax,tempsPayeMaximum,Paye,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeMax']
class-field,gest.activite.ActionCondition,mTempsPayeMin,tempsPayeMin,tempsPayeMinimum,Paye,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeMin']
