priority_score,priority_reasons,kind,class_source,field_source,destination_name,suggested_name,unresolved_tokens,suggestion_confidence,status,approved_name,notes,xpath_hint
22,auto_suggest_differs;abbr:CP|Prev;short_tokens:hsh|CP|Ori;unresolved:hsh|Sect|Cond|Ori|Doss,class-field,gest.prevention.Prevention,mHshSectCondValeurCPOriDossPrev,hshSectCondValeurCPOriDossPrev,hshSectCondValeurCodePostalOriDossPrevision,hsh|Sect|Cond|Ori|Doss,review-needed,,,,/classes/class[@source='gest.prevention.Prevention']/field[@source='mHshSectCondValeurCPOriDossPrev']
21,auto_suggest_differs;abbr:Seq;short_tokens:Seq|Les|SSI;unresolved:meme|Pour|Tout|Les|SSI,class-field,gest.config.ParamConfigSSI,mMemeSeqPourToutLesSSI,memeSeqPourToutLesSSI,memeSequencePourToutLesSsi,meme|Pour|Tout|Les|SSI,review-needed,,,,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mMemeSeqPourToutLesSSI']
21,auto_suggest_differs;abbr:Num;short_tokens:On|Act|Num;unresolved:On|Act|With,class-field,gest.config.ParamConfigSSI,mPermitCancelOnActWithNumPreassigned,permitCancelOnActWithNumPreassigned,permitCancelOnActWithNumeroPreassigned,On|Act|With,review-needed,,,,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mPermitCancelOnActWithNumPreassigned']
21,auto_suggest_differs;abbr:qte;short_tokens:qte|Au|Sol;unresolved:Aire|Au|Sol,class-field,gest.dossPrev.DossPrev,mQteAireAuSol,qteAireAuSol,quantiteAireAuSol,Aire|Au|Sol,review-needed,,,,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mQteAireAuSol']
21,auto_suggest_differs;abbr:qte;short_tokens:qte|Au|Sol;unresolved:Aire|Au|Sol,class-field,gest.dossPrev.DossPrev,mQteAireAuSolTerrain,qteAireAuSolTerrain,quantiteAireAuSolTerrain,Aire|Au|Sol,review-needed,,,,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mQteAireAuSolTerrain']
21,auto_suggest_differs;abbr:nbr|Interv;short_tokens:nbr|Veh;unresolved:Dans|Veh,class-field,gest.intervention.IntervIntervEquipe,mNbrIntervDansVeh,nbrIntervDansVeh,nombreInterventionDansVeh,Dans|Veh,review-needed,,,,/classes/class[@source='gest.intervention.IntervIntervEquipe']/field[@source='mNbrIntervDansVeh']
21,auto_suggest_differs;abbr:Qte;short_tokens:est|La|Qte;unresolved:est|La|Meme,class-field,gest.maintEquip.MaintEquipHisto,mEstLaMemeQte,estLaMemeQte,estLaMemeQuantite,est|La|Meme,review-needed,,,,/classes/class[@source='gest.maintEquip.MaintEquipHisto']/field[@source='mEstLaMemeQte']
21,auto_suggest_differs;abbr:CP;short_tokens:hsh|CP|Ori;unresolved:hsh|Sect|Cond|Ori,class-field,gest.prevention.Prevention,mHshSectCondValeurCPOri,hshSectCondValeurCPOri,hshSectCondValeurCodePostalOri,hsh|Sect|Cond|Ori,review-needed,,,,/classes/class[@source='gest.prevention.Prevention']/field[@source='mHshSectCondValeurCPOri']
21,auto_suggest_differs;abbr:Desc|Ext;short_tokens:rci|Ext;unresolved:rci,class-field,gest.rci.Rci,mRciDescExt,rciDescExt,rciDescriptionExterne,rci,review-needed,,,,/classes/class[@source='gest.rci.Rci']/field[@source='mRciDescExt']
20,auto_suggest_differs;abbr:qte;short_tokens:qte|RCI;unresolved:RCI,class-field,gest.config.ParamConfigSSI,mQteDelaiRapportRCI,qteDelaiRapportRCI,quantiteDelaiRapportRci,RCI,review-needed,,,,/classes/class[@source='gest.config.ParamConfigSSI']/field[@source='mQteDelaiRapportRCI']
20,auto_suggest_differs;abbr:nb;short_tokens:nb|Par;unresolved:Par|Page|Pour,class-field,gest.dossPrev.DossPrev,mNbPhotosParPagePourGraph,nbPhotosParPagePourGraph,nombrePhotosParPagePourGraph,Par|Page|Pour,review-needed,,,,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mNbPhotosParPagePourGraph']
20,auto_suggest_differs;abbr:nbr;short_tokens:nbr|Sol;unresolved:Sous|Sol,class-field,gest.dossPrev.DossPrev,mNbrSousSol,nbrSousSol,nombreSousSol,Sous|Sol,review-needed,,,,/classes/class[@source='gest.dossPrev.DossPrev']/field[@source='mNbrSousSol']
20,auto_suggest_differs;abbr:Num;short_tokens:Num|DB;unresolved:m|DB,class-field,gest.gen.ParamVersion,mNumBuildDB,mNumBuildDB,mNumeroBuildDb,m|DB,review-needed,,,,/classes/class[@source='gest.gen.ParamVersion']/field[@source='mNumBuildDB']
20,auto_suggest_differs;abbr:Temp|Prev|Assoc;unresolved:Doss,class-field,gest.gen.VoieCircul,mVectTempIDDossPrevAssoc,listeTempIDDossPrevAssoc,listeTemporaireIdDossPrevisionAssociation,Doss,review-needed,,,,/classes/class[@source='gest.gen.VoieCircul']/field[@source='mVectTempIDDossPrevAssoc']
20,auto_suggest_differs;abbr:nbr;short_tokens:nbr|Mes;unresolved:Mes,class-field,gest.graph.Graph,mNbrPixelUniteMes,nbrPixelUniteMes,nombrePixelUniteMes,Mes,review-needed,,,,/classes/class[@source='gest.graph.Graph']/field[@source='mNbrPixelUniteMes']
20,auto_suggest_differs;abbr:nbr;short_tokens:nbr|Mes;unresolved:Mes,class-field,gest.graph.TypeGraph,mNbrPixelUniteMesDefaut,nbrPixelUniteMesDefaut,nombrePixelUniteMesDefaut,Mes,review-needed,,,,/classes/class[@source='gest.graph.TypeGraph']/field[@source='mNbrPixelUniteMesDefaut']
20,auto_suggest_differs;abbr:nbr;short_tokens:nbr|KM;unresolved:KM|Pour,class-field,gest.intervention.IntervVehAccident,mNbrKMPourExcedent,nbrKMPourExcedent,nombreKmPourExcedent,KM|Pour,review-needed,,,,/classes/class[@source='gest.intervention.IntervVehAccident']/field[@source='mNbrKMPourExcedent']
20,auto_suggest_differs;abbr:Num;short_tokens:ass|Num;unresolved:ass,class-field,gest.intervention.IntervVehicule,mAssNumPolice,assNumPolice,assNumeroPolice,ass,review-needed,,,,/classes/class[@source='gest.intervention.IntervVehicule']/field[@source='mAssNumPolice']
20,auto_suggest_differs;abbr:interv;short_tokens:Veh|Feu;unresolved:Veh|Feu,class-field,gest.intervention.IntervVehicule,mIntervVehFeu,intervVehFeu,interventionVehFeu,Veh|Feu,review-needed,,,,/classes/class[@source='gest.intervention.IntervVehicule']/field[@source='mIntervVehFeu']
20,auto_suggest_differs;abbr:Num;short_tokens:veh|Num;unresolved:veh,class-field,gest.intervention.IntervVehicule,mVehNumSerie,vehNumSerie,vehNumeroSerie,veh,review-needed,,,,/classes/class[@source='gest.intervention.IntervVehicule']/field[@source='mVehNumSerie']
20,auto_suggest_differs;abbr:nbr|Interv;short_tokens:nbr;unresolved:Prem,class-field,gest.intervention.ParamCarteAppel,mNbrMinutesDeduitPremInterv,nbrMinutesDeduitPremInterv,nombreMinutesDeduitPremIntervention,Prem,review-needed,,,,/classes/class[@source='gest.intervention.ParamCarteAppel']/field[@source='mNbrMinutesDeduitPremInterv']
