kind,class_source,field_source,destination_name,suggested_name,unresolved_tokens,suggestion_confidence,status,approved_name,notes,xpath_hint
shared-field,,mID,id,id,,high,,,,/classes/fields/field[@source='mID']
shared-field,,mIDSSI,idSSI,idSsi,SSI,review-needed,,,,/classes/fields/field[@source='mIDSSI']
shared-field,,mIDDBConso,idDBConso,idDbConso,DB,review-needed,,,,/classes/fields/field[@source='mIDDBConso']
shared-field,,mNom,nom,nom,nom,review-needed,,,,/classes/fields/field[@source='mNom']
shared-field,,mDescription,description,description,,high,,,,/classes/fields/field[@source='mDescription']
shared-field,,mNote,note,note,note,review-needed,,,,/classes/fields/field[@source='mNote']
shared-field,,mDateCreation,dateCreation,dateCreation,date,review-needed,,,,/classes/fields/field[@source='mDateCreation']
shared-field,,mActif,actif,actif,,high,,,,/classes/fields/field[@source='mActif']
shared-field,,mInactif,inactif,inactif,,high,,,,/classes/fields/field[@source='mInactif']
shared-field,,mAdresse,adresse,adresse,,high,,,,/classes/fields/field[@source='mAdresse']
shared-field,,mDetail,detail,detail,,high,,,,/classes/fields/field[@source='mDetail']
shared-field,,mPrefixe,prefixe,prefixe,,high,,,,/classes/fields/field[@source='mPrefixe']
shared-field,,mIDCaserne,idCaserne,idCaserne,,high,,,,/classes/fields/field[@source='mIDCaserne']
shared-field,,mVectPhotoFich,listePieceJointe,listePieceJointe,,high,,,,/classes/fields/field[@source='mVectPhotoFich']
shared-field,,mDateActivite,dateActivite,dateActivite,date,review-needed,,,,/classes/fields/field[@source='mDateActivite']
shared-field,,mDateCompletee,dateCompletee,dateCompletee,date,review-needed,,,,/classes/fields/field[@source='mDateCompletee']
shared-field,,mDateIdent,dateIdent,dateIdent,date,review-needed,,,,/classes/fields/field[@source='mDateIdent']
shared-field,,mDateDebut,dateDebut,dateDebut,date,review-needed,,,,/classes/fields/field[@source='mDateDebut']
shared-field,,mDateFin,dateFin,dateFin,date,review-needed,,,,/classes/fields/field[@source='mDateFin']
shared-field,,mMatricule,matricule,matricule,,high,,,,/classes/fields/field[@source='mMatricule']
shared-field,,mCourriel,courriel,courriel,,high,,,,/classes/fields/field[@source='mCourriel']
shared-field,,mIDTypeActivite,idTypeActivite,idTypeActivite,Type,review-needed,,,,/classes/fields/field[@source='mIDTypeActivite']
shared-field,,mIDDossPrev,idDossierAdresse,idDossierAdresse,,high,,,,/classes/fields/field[@source='mIDDossPrev']
class-field,com.db4o.StaticClass,fields,fields,fields,,high,,,,/classes/class[@source='com.db4o.StaticClass']/field[@source='fields']
class-field,com.db4o.StaticClass,name,name,name,name,review-needed,,,,/classes/class[@source='com.db4o.StaticClass']/field[@source='name']
class-field,com.db4o.StaticField,name,name,name,name,review-needed,,,,/classes/class[@source='com.db4o.StaticField']/field[@source='name']
class-field,com.db4o.StaticField,value,value,value,,high,,,,/classes/class[@source='com.db4o.StaticField']/field[@source='value']
class-field,com.db4o.config.Entry,key,key,key,key,review-needed,,,,/classes/class[@source='com.db4o.config.Entry']/field[@source='key']
class-field,com.db4o.config.Entry,value,value,value,,high,,,,/classes/class[@source='com.db4o.config.Entry']/field[@source='value']
class-field,com.db4o.ext.Db4oDatabase,i_signature,i_signature,iSignature,i,review-needed,,,,/classes/class[@source='com.db4o.ext.Db4oDatabase']/field[@source='i_signature']
class-field,com.db4o.ext.Db4oDatabase,i_uuid,i_uuid,iUuid,i|uuid,review-needed,,,,/classes/class[@source='com.db4o.ext.Db4oDatabase']/field[@source='i_uuid']
class-field,gen.requete.DynamicStaticDate,mDynamicDate,dynamicDate,dynamicDate,Date,review-needed,,,,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mDynamicDate']
class-field,gen.requete.DynamicStaticDate,mStatic,static,static,,high,,,,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mStatic']
class-field,gen.requete.DynamicStaticDate,mStaticDate,staticDate,staticDate,Date,review-needed,,,,/classes/class[@source='gen.requete.DynamicStaticDate']/field[@source='mStaticDate']
class-field,gen.util.HVector,mReadOnly,readOnly,readOnly,read|Only,review-needed,,,,/classes/class[@source='gen.util.HVector']/field[@source='mReadOnly']
class-field,gen.util.ObjetToString,mHashCodeSurToString,hashCodeSurToString,hashCodeSurToString,hash|Code|Sur|To,review-needed,,,,/classes/class[@source='gen.util.ObjetToString']/field[@source='mHashCodeSurToString']
class-field,gen.util.ObjetToString,mObjet,objet,objet,,high,,,,/classes/class[@source='gen.util.ObjetToString']/field[@source='mObjet']
class-field,gen.util.ObjetToString,mObjetsFormatsAlternatifs,objetsFormatsAlternatifs,objetsFormatsAlternatifs,,high,,,,/classes/class[@source='gen.util.ObjetToString']/field[@source='mObjetsFormatsAlternatifs']
class-field,gen.util.ObjetToString,mToString,toString,toString,to,review-needed,,,,/classes/class[@source='gen.util.ObjetToString']/field[@source='mToString']
class-field,gest.DSI2003.DSI2003,mCode,code,code,code,review-needed,,,,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mCode']
class-field,gest.DSI2003.DSI2003,mGroupe,groupe,groupe,,high,,,,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mGroupe']
class-field,gest.DSI2003.DSI2003,mNom,nom,nom,nom,review-needed,,,,/classes/class[@source='gest.DSI2003.DSI2003']/field[@source='mNom']
class-field,gest.DSI2003.DSI2003Perso,mIDSousCodeMSP,idSousCodeMSP,idSousCodeMsp,Sous|Code|MSP,review-needed,,,,/classes/class[@source='gest.DSI2003.DSI2003Perso']/field[@source='mIDSousCodeMSP']
class-field,gest.activite.Acte,mVectIDTypeActivite,listeIDTypeActivite,listeIdTypeActivite,Type,review-needed,,,,/classes/class[@source='gest.activite.Acte']/field[@source='mVectIDTypeActivite']
class-field,gest.activite.ActionCondition,mAction,action,action,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mAction']
class-field,gest.activite.ActionCondition,mCondition,condition,condition,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mCondition']
class-field,gest.activite.ActionCondition,mMontantBase,montantBase,montantBase,Base,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mMontantBase']
class-field,gest.activite.ActionCondition,mNivPreseance,niveauPreseance,niveauPreseance,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mNivPreseance']
class-field,gest.activite.ActionCondition,mPreseanceApresTermine,preseanceApresTermine,preseanceApresTermine,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mPreseanceApresTermine']
class-field,gest.activite.ActionCondition,mPreseanceAvantDebute,preseanceAvantDebute,preseanceAvantDebute,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mPreseanceAvantDebute']
class-field,gest.activite.ActionCondition,mTauxHoraireMult,tauxHoraireMultiplicateur,tauxHoraireMultiplicateur,taux,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTauxHoraireMult']
class-field,gest.activite.ActionCondition,mTempsApresDuree,tempsApresDuree,tempsApresDuree,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsApresDuree']
class-field,gest.activite.ActionCondition,mTempsPayeBase,tempsPayeBase,tempsPayeBase,Paye|Base,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBase']
class-field,gest.activite.ActionCondition,mTempsPayeBloc,tempsPayeBloc,tempsPayeBloc,Paye|Bloc,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBloc']
class-field,gest.activite.ActionCondition,mTempsPayeBlocArrondir,tempsPayeBlocArrondir,tempsPayeBlocArrondir,Paye|Bloc,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeBlocArrondir']
class-field,gest.activite.ActionCondition,mTempsPayeMax,tempsPayeMax,tempsPayeMaximum,Paye,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeMax']
class-field,gest.activite.ActionCondition,mTempsPayeMin,tempsPayeMin,tempsPayeMinimum,Paye,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPayeMin']
class-field,gest.activite.ActionCondition,mTempsPreseanceApresTermine,tempsPreseanceApresTermine,tempsPreseanceApresTermine,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPreseanceApresTermine']
class-field,gest.activite.ActionCondition,mTempsPreseanceAvantDebute,tempsPreseanceAvantDebute,tempsPreseanceAvantDebute,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mTempsPreseanceAvantDebute']
class-field,gest.activite.ActionCondition,mVectCommenceIntervalleDate,listeCommenceIntervalleDate,listeCommenceIntervalleDate,Date,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectCommenceIntervalleDate']
class-field,gest.activite.ActionCondition,mVectCommencePlageHoraire,listeCommencePlageHoraire,listeCommencePlageHoraire,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectCommencePlageHoraire']
class-field,gest.activite.ActionCondition,mVectIDTypeActivite,listeIDTypeActivite,listeIdTypeActivite,Type,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectIDTypeActivite']
class-field,gest.activite.ActionCondition,mVectIDTypeActivitePreseance,listeIDTypeActivitePreseance,listeIdTypeActivitePreseance,Type,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mVectIDTypeActivitePreseance']
class-field,gest.activite.ActionCondition,mIDGrade,idGrade,idGrade,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mIDGrade']
class-field,gest.activite.ActionCondition,mIDGroupeAction,idGroupeAction,idGroupeAction,,high,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mIDGroupeAction']
class-field,gest.activite.ActionCondition,mIDTypeActiviteActTaux,idTypeActiviteActTaux,idTypeActiviteActTaux,Type|Act|Taux,review-needed,,,,/classes/class[@source='gest.activite.ActionCondition']/field[@source='mIDTypeActiviteActTaux']
class-field,gest.activite.HistoActivite,mIDActivite,idActivite,idActivite,,high,,,,/classes/class[@source='gest.activite.HistoActivite']/field[@source='mIDActivite']
